text,rating,sentiment,text_clean,sentiment_encoded
"Bagus, enak di pakai. Pas dpt harga murah",5,Positif,bagus enak pakai pas dpt harga murah,2
barang ok punya lah lu punya barang,5,Positif,barang ok lu barang,2
"brg sangat bagus, harga bagus",5,Positif,brg bagus harga bagus,2
Sendalnya bagus. Mantep. Respon cepet. Sukses terus,5,Positif,sendalnya bagus mantep respon cepet sukses,2
Kualitas Produk Bagus... Tapi Pengiriman Lama,5,Positif,kualitas produk bagus pengiriman,2
seller informatif menginfokan stock.  Terus pertahankan ya😊,4,Positif,seller informatif menginfokan stock pertahankan ya😊,2
"Best seller dah
Recomen 👍🏼👍🏼👍🏼👍🏼",5,Positif,best seller dah recomen 👍🏼👍🏼👍🏼👍🏼,2
Toreee mantaaappp jiwaaaaa,5,Positif,toreee mantaaappp jiwaaaaa,2
terima kasih paket sudah di terima dengan baik...semoga tmbh sukses..,5,Positif,terima kasih paket terima baiksemoga tmbh sukses,2
"Produk sesuai deskripsi, buatannya cukup rapih menurut sy. Respon penjual juga oke waktu tanya ukuran. Sayangnya jasa pengiriman kurang oke (ninja), pengiriman lama dan kardus sepatu agak rusak, selisih 2 rb sampenya selisih 2 hari 😅",5,Positif,produk sesuai deskripsi buatannya rapih sy respon penjual oke ukuran sayangnya jasa pengiriman oke ninja pengiriman kardus sepatu rusak selisih rb sampenya selisih 😅,2
"Sepatu sesuai pesanan, kualitas bagus, lem semua oke, semoga awet. Pengiriman juga cepat.",5,Positif,sepatu sesuai pesanan kualitas bagus lem oke semoga awet pengiriman cepat,2
Brg sdh d terima dgn baik &amp; sangat ok thanks,5,Positif,brg sdh d terima dgn amp ok thanks,2
"kualitas baik, sesuai deskripsi dan gambar",5,Positif,kualitas sesuai deskripsi gambar,2
"Barang sesuai deskripsi.Pas,enak,nyaman di pakai di pakai.Bata memang ok...Respon penjual jg ok",5,Positif,barang sesuai deskripsipasenaknyaman pakai pakaibata okrespon penjual jg ok,2
Oke lah barangny sesuai dgn harga,5,Positif,oke barangny sesuai dgn harga,2
Barang sesuai pesanan...terima kasih...,5,Positif,barang sesuai pesananterima kasih,2
"Pengiriman cepat,packing rapih,sesuai pesanan",5,Positif,pengiriman cepatpacking rapihsesuai pesanan,2
Sendalnya bagus.empuk.ukuran pas.pengiriman cepat.puas dgn sendalnya 👍👍,5,Positif,sendalnya bagusempukukuran paspengiriman cepatpuas dgn sendalnya 👍👍,2
Respon dan pengiriman sgt cepat. Barang sesuai foto. Empuk dan ringan..,5,Positif,respon pengiriman sgt cepat barang sesuai foto empuk ringan,2
Bagus kualitas n fast respon,5,Positif,bagus kualitas n fast respon,2
Kualitas sandal bagus. Nyaman dipakai. Gak kecewa.,5,Positif,kualitas sandal bagus nyaman dipakai gak kecewa,2
"Trims, sesuai deskripsi",5,Positif,trims sesuai deskripsi,2
Sepatunya bagus.......,5,Positif,sepatunya bagus,2
Barang sdh diterima terima kasih,4,Positif,barang sdh diterima terima kasih,2
"bagus sepatunya, pengiriman jg cepat",5,Positif,bagus sepatunya pengiriman jg cepat,2
Semoga ga cepat rusak ya gaesss,4,Positif,semoga ga cepat rusak ya gaesss,2
"barang sampe, ukuran pas mungkin respon seller nya aga lama. tapi puas sama barang nya",5,Positif,barang sampe ukuran pas respon seller nya aga puas barang nya,2
Barang cepat sampai dan rapi pengirimannya.,5,Positif,barang cepat rapi pengirimannya,2
"Yg sy pesan merah d kirim abu..  
Alhamdulillah ya",5,Positif,yg sy pesan merah d kirim abu alhamdulillah ya,2
Lumayaaaaaaannnn.....,4,Positif,lumayaaaaaaannnn,2
Barang bagus. Packing rapih. Cepat sampai. Terimakasih...,5,Positif,barang bagus packing rapih cepat terimakasih,2
"bagus banged barangnya, pas bgd, enak dipakenya juga. cuma nyampeny aja yg agak lama. tengkyu bata &amp; toped, sukses selalu.",5,Positif,bagus banged barangnya pas bgd enak dipakenya nyampeny aja yg tengkyu bata amp toped sukses,2
terima kasih sudah sampai,5,Positif,terima kasih,2
"Model kece, keren, pas untuk orang yang berjiwa muda seperti saya wkwk. Thanks",5,Positif,model kece keren pas orang berjiwa muda wkwk thanks,2
Makasih ya bagus banget. Mamaku suka😊😊,5,Positif,makasih ya bagus banget mamaku suka😊😊,2
Untung pernah coba2 sendalnya di toko offline. Beli di offstore tokped jd gak galau pilih ukuran. Mantap!,5,Positif,untung coba sendalnya toko offline beli offstore tokped jd gak galau pilih ukuran mantap,2
"Terimakasih barang.a bagus, ini buar seseorang sih, mudah2n org.a suka.. Terimakasih Bata..",5,Positif,terimakasih baranga bagus buar sih mudahn orga suka terimakasih bata,2
"Packingnya kurang cuma pakai plastik doang,barang sesuai",3,Netral,packingnya pakai plastik doangbarang sesuai,1
Ok ok ok ok ok Ok ok ok ok ok,5,Positif,ok ok ok ok ok ok ok ok ok ok,2
"model dan warna sesuai gambar dan deskripsi, kualitas bahan baik, jahitan rapi, pengeleman cukup rapi. sayang material solnya keras dan kaku, sepatu pantofel saya kalah kaku malah 😅. saya order ini utk kebutuhan sekolah anak saat tahun ajaran baru (mumpung sedang diskon) dan ukurannya sengaja dilebihkan 1 nomor dari yg dipakai sekarang, tapi ternyata setelah dicoba malah pas (tidak longgar). saran saya jika ada yg ingin order utk pemakaian langsung dilebihkan 1 nomor saja. terlepas dari itu, saya merekomendasikan sepatu ini karena modelnya bagus (mirip sketch*rs) dan kualitasnya cukup baik. terima kasih seller dan tokopedia.",4,Positif,model warna sesuai gambar deskripsi kualitas bahan jahitan rapi pengeleman rapi sayang material solnya keras kaku sepatu pantofel kalah kaku 😅 order utk kebutuhan sekolah anak ajaran mumpung diskon ukurannya sengaja dilebihkan nomor yg dipakai dicoba pas longgar saran yg order utk pemakaian langsung dilebihkan nomor terlepas merekomendasikan sepatu modelnya bagus sketchrs kualitasnya terima kasih seller tokopedia,2
"Recomended Seller. Gk basa basi, brg langsung smpe tujuan cepat sekali &amp; brg cocok. Thx gan/sis",4,Positif,recomended seller gk basa basi brg langsung smpe tujuan cepat amp brg cocok thx gansis,2
Puas banget... terimakasih BATA...,5,Positif,puas banget terimakasih bata,2
Cukup baik. Pelayanan &amp; Kualitas barangnya.,3,Netral,pelayanan amp kualitas barangnya,1
"Penjual ramah, pengiriman cepat, sendal ny jg bagus, Alhamdulillah suka terima kasih kak",5,Positif,penjual ramah pengiriman cepat sendal ny jg bagus alhamdulillah suka terima kasih kak,2
sandal sesuai gambaran. harga discount nya sangat menguntungkan.,5,Positif,sandal sesuai gambaran harga discount nya menguntungkan,2
Harga + ongkir masih lebih murah dari toko offline,5,Positif,harga ongkir murah toko offline,2
mantap!! barang sampai ga ragu sama official store,5,Positif,mantap barang ga ragu official store,2
Barang bagus semoga awet.thanx gan,5,Positif,barang bagus semoga awetthanx gan,2
bagus sessuai deskripsi,5,Positif,bagus sessuai deskripsi,2
Ukuran sesuai dngn yg difoto. Reccomended,5,Positif,ukuran sesuai dngn yg difoto reccomended,2
"Produk sesuai deskripsi, respon cepat...Tq",5,Positif,produk sesuai deskripsi respon cepattq,2
mantab. barang udah sampai. bagus.,5,Positif,mantab barang udah bagus,2
"Barang mantap, harga ok, seller responsif, suxes truz",5,Positif,barang mantap harga ok seller responsif suxes truz,2
Terimakasih paket sudah sampai .... sepatunya bagus sesuai dengan foto dan deskripsi 😊 recommended,5,Positif,terimakasih paket sepatunya bagus sesuai foto deskripsi 😊 recommended,2
Barang sudah diterima dengan baik. Tq..,5,Positif,barang diterima tq,2
Biarkan bintang yang berbicara,5,Positif,biarkan bintang berbicara,2
Selalu luar biasa produknya..harganya terjangkau,5,Positif,produknyaharganya terjangkau,2
"Bagus, sesuai deskripsi. Seller sangat fast respon, pengiriman cepat.",5,Positif,bagus sesuai deskripsi seller fast respon pengiriman cepat,2
"Kereeeeennnn kakak saya suka banget, makasih bata fast response &amp; fast delivery",5,Positif,kereeeeennnn kakak suka banget makasih bata fast response amp fast delivery,2
Bagus dan murah. Pengiriman juga ok.,4,Positif,bagus murah pengiriman ok,2
"Good quality, fast respon n delivery",5,Positif,good quality fast respon n delivery,2
Sy minta size 36 &amp; 39 di kasihnya 36 semua ..,4,Positif,sy size amp kasihnya,2
"Pengiriman rapi, paket cepat sampai, produk ok sesuai deskripsi",5,Positif,pengiriman rapi paket cepat produk ok sesuai deskripsi,2
"Mantap cocok lah, beli di toko store langsung, kalo di mall harga 500ribu, kalo di tokopedia cmn 300ribu hahaha jossss dah. Terima kasih Tokopedia",5,Positif,mantap cocok beli toko store langsung kalo mall harga ribu kalo tokopedia cmn ribu hahaha jossss dah terima kasih tokopedia,2
Bintang 5 aja yg bicara...............,5,Positif,bintang aja yg bicara,2
"Baguussss, delivery siip",5,Positif,baguussss delivery siip,2
"produk sesuai pesanan, cuman packing barang agar diperbaiki, kardus sepatu dibungkus pllastik tipis sepertinya kurang pas",3,Netral,produk sesuai pesanan cuman packing barang diperbaiki kardus sepatu dibungkus pllastik tipis pas,1
Keren euy barangna. Trims y,5,Positif,keren euy barangna trims y,2
Mantap bener mantap bener mantap bener,5,Positif,mantap bener mantap bener mantap bener,2
Barang bagus bata awet dan nyaman,5,Positif,barang bagus bata awet nyaman,2
terima kasih paket sudah diterima dengan baik,5,Positif,terima kasih paket diterima,2
Daebak! Nyaman dipakai dan sesuai dengan gambar,5,Positif,daebak nyaman dipakai sesuai gambar,2
"Respon dan pengiriman cepat, produk ok dan berkualitas. Recommended seller...",5,Positif,respon pengiriman cepat produk ok berkualitas recommended seller,2
"Mantap. Bahan joss, warnanya cocok. Mudah-mudahan awet..",5,Positif,mantap bahan joss warnanya cocok mudahmudahan awet,2
Motif.size.warna ..ok..tapi lem bagian atas belum rata,3,Netral,motifsizewarna oktapi lem,1
Di sendal masih ketinggalan label harganya 149.000 kwkwkw,3,Netral,sendal ketinggalan label harganya kwkwkw,1
Produk lumayan..enak di pakai,5,Positif,produk lumayanenak pakai,2
Barang sesuai yg di inginkan,5,Positif,barang sesuai yg,2
"Bagus sesuai permintaan,sayang Pengiriman telat",5,Positif,bagus sesuai permintaansayang pengiriman telat,2
Barang sudah diterima dan sesuai .... Thx,5,Positif,barang diterima sesuai thx,2
"Barang sesuai dengan pesanan, packing rapi dan pengiriman barang cepat, Terima kasih Bata",5,Positif,barang sesuai pesanan packing rapi pengiriman barang cepat terima kasih bata,2
Bagus dan nyaman dipakai.. response good,5,Positif,bagus nyaman dipakai response good,2
"Produk sesuai, kualitas bagus, cuma pengirimannya krg respon msti di ingetin..",5,Positif,produk sesuai kualitas bagus pengirimannya krg respon msti ingetin,2
Saya sempet jalan2 ke Bata di Kalibata yg konon infonya paling lengkap. Tapi ternyat untuk sendal ini tidak ada ukurannya. Eh pas tengok flashsale toped ada barangnya. Untuk hasil liat foto komennya saja,5,Positif,sempet jalan bata kalibata yg konon infonya lengkap ternyat sendal ukurannya eh pas tengok flashsale toped barangnya hasil liat foto komennya,2
"5 bintang sudah cukup lah ya menjelaskan tentang produk,  nuhun gan",5,Positif,bintang ya produk nuhun gan,2
"Saya pesan nomer 40, yang dtg nomer 39. Jd kekecilan. Mentang2 beli di flash sale, dikasihnya gak sesuai. Kecewa. Bgt",1,Negatif,pesan nomer dtg nomer jd kekecilan mentang beli flash sale dikasihnya gak sesuai kecewa bgt,0
mayan dapet lebih murah dari store,5,Positif,mayan dapet murah store,2
✌🏻👆🏻✌🏻👆🏻✌🏻👆🏻✌🏻👆🏻🙏🏻,5,Positif,✌🏻👆🏻✌🏻👆🏻✌🏻👆🏻✌🏻👆🏻🙏🏻,2
Mantap pesanannya sesuai pesanan good seller,5,Positif,mantap pesanannya sesuai pesanan good seller,2
Produk sesuai gambar. Barang ok nyaman buat jalan.,5,Positif,produk sesuai gambar barang ok nyaman jalan,2
Bagus nih recommended... Blm dicoba semua,4,Positif,bagus nih recommended blm dicoba,2
"Packing oke, barang sesuai deskripsi dan berfungsi dengan baik. Recommended",5,Positif,packing oke barang sesuai deskripsi berfungsi recommended,2
Sesuai brngnya dan tiba sesuai juga waktunya. Barang rapih ukuran sesuai pesanan. Moga awet. Trim,5,Positif,sesuai brngnya sesuai barang rapih ukuran sesuai pesanan moga awet trim,2
Jne yes 3 hari sampai........,4,Positif,jne yes,2
"Mantapp smoga awet, sesuai gambar",4,Positif,mantapp smoga awet sesuai gambar,2
Barangnya baik tp ketelitian penerima order harus lebih ditingkatkan . saya order dgn ukuran 42 tapi dikirimnya uk 39 . ya mana muat. terima kasih harap ketelitiannya ditingkatkan,4,Positif,barangnya tp ketelitian penerima order ditingkatkan order dgn ukuran dikirimnya uk ya muat terima kasih harap ketelitiannya ditingkatkan,2
Sesuai deskripsi...nyaman dipakai..thx.,5,Positif,sesuai deskripsinyaman dipakaithx,2
Barang sama persis seperti di gambar. Yg penting ukurannya pas. Terima kasih,5,Positif,barang persis gambar yg ukurannya pas terima kasih,2
Sesuai deskripsi..bahan enak dipakai.. Ukuran Pas.. Respon Cepat.. thanks,5,Positif,sesuai deskripsibahan enak dipakai ukuran pas respon cepat thanks,2
"Produk bagus,, sesuai pesanan,, packing rapih,,",4,Positif,produk bagus sesuai pesanan packing rapih,2
Barang sesuai deskripsi. Worth untuk harga 100rb. Moga aj awet.,5,Positif,barang sesuai deskripsi worth harga rb moga aj awet,2
"Nyaman dipakai, ukuran pas banget. Thanks",5,Positif,nyaman dipakai ukuran pas banget thanks,2
Barang bagus cuma kurang cocok,5,Positif,barang bagus cocok,2
"Kereeeeennnn papah saya suka banget, makasih bata fast response &amp; fast delivery",5,Positif,kereeeeennnn papah suka banget makasih bata fast response amp fast delivery,2
Terlalu kecil.. Rantai terlalu pendek,1,Negatif,rantai pendek,0
"Kualitas bagus, kiriman cepat",5,Positif,kualitas bagus kiriman cepat,2
Produk sesuai dengan gambar dan deskripsi,5,Positif,produk sesuai gambar deskripsi,2
"Pengiriman agak telat sehari walau pakai instant courier, mungkin saking  ramainya ,
Untuk barang belum lihat fisiknya, tapi kalau toko official seharusnya barang tanpa cacat dan bagus...

Nilai pengiriman msh agak kurang, setidaknya mereka sesuai jangka waktu yg diberikan Tokopedia yaitu sebelum 24 jam kirim

Terima kasih Bata Official",5,Positif,pengiriman telat sehari pakai instant courier saking ramainya barang lihat fisiknya toko official barang cacat bagus nilai pengiriman msh sesuai jangka yg tokopedia jam kirim terima kasih bata official,2
kualitas bagus original.. semoga awet.. trima kasih..,5,Positif,kualitas bagus original semoga awet trima kasih,2
Barng biasa ga terlalu bgs sesui dg harga,4,Positif,barng ga bgs sesui dg harga,2
"Terimakasih ya sandal sdh sampe dgn selamat, sandalnya memang ringan sekali enak buat jln tapi kalo kelembutannya ya biasa aja ga seperti iklan, tp ya oke lah..",4,Positif,terimakasih ya sandal sdh sampe dgn selamat sandalnya ringan enak jln kalo kelembutannya ya aja ga iklan tp ya oke,2
Biasa aja kualitas produk. Overprice.,3,Netral,aja kualitas produk overprice,1
pesan tanggal 5 sampe tanggal 11 super sekali,2,Negatif,pesan tanggal sampe tanggal super,0
Barang manstappp sesuai deskrifsi....,5,Positif,barang manstappp sesuai deskrifsi,2
Pesanan dah sampai...bungkus ala kadarnya,3,Netral,pesanan dah sampaibungkus ala kadarnya,1
Lumayan lah kualitasnya enak ditelapak kaki sangat nyaman thanks bata,5,Positif,lumayan kualitasnya enak ditelapak kaki nyaman thanks bata,2
"bata... sepatu dr jaman saya kecil dulu.. kirain sdh jd keren bgt.. ternyata nyamannya msh so-so..
tp tetap terimakasih.. 
smga kedepan smakin baik..",4,Positif,bata sepatu dr jaman kirain sdh jd keren bgt nyamannya msh soso tp terimakasih smga kedepan smakin,2
Muatepz sesuai dgn gambar Recomended dah,5,Positif,muatepz sesuai dgn gambar recomended dah,2
Barang sampai sesuai pesanan,5,Positif,barang sesuai pesanan,2
"Sesuai harga, tidak seempuk yg dideskripsikan",4,Positif,sesuai harga seempuk yg dideskripsikan,2
kualitas tidak sesuai harga,1,Negatif,kualitas sesuai harga,0
terimakasih barangnya sudah diterima,5,Positif,terimakasih barangnya diterima,2
Size 37 nya ternyata Lbh besar dari ukran biasanya.,4,Positif,size nya lbh ukran,2
"Bagus sandalnya, cuma agak licin aja permukaannya, pengiriman cepat, packing lumayan, soal harga, diskonnya aja kurang gede... 😁",5,Positif,bagus sandalnya licin aja permukaannya pengiriman cepat packing lumayan harga diskonnya aja gede 😁,2
Barang Original dan pelayanannya bagus .,5,Positif,barang original pelayanannya bagus,2
"Barang datang sesuai dengan keinginan, dan ukurannya pas, pengiriman cepat, sangat terpercaya untuk pemesanan disini. Terima kash 😃",5,Positif,barang sesuai ukurannya pas pengiriman cepat terpercaya pemesanan terima kash 😃,2
Sesuai dengan pesanan. Kirim cepat. Puas,5,Positif,sesuai pesanan kirim cepat puas,2
Mwaaannnnteeepppppppppp,5,Positif,mwaaannnnteeepppppppppp,2
Respon cepat kiriman langsung barang original mantaap.!,5,Positif,respon cepat kiriman langsung barang original mantaap,2
Ya begitulah...BATA gitu Lho,4,Positif,ya begitulahbata gitu lho,2
"Sandal bagus, empuk dan kokoh cuma sayang sizenya kalo kalian biasanya disandal lain 42 atau 8 harus dilebihi menjadi 43  / 10  tapi proses pengembaliannya jika kalian di kota (jakarta timur/ selatan /depok sekitarnya) ya harap ke site/gudang nya saja biar cepet di exchange",4,Positif,sandal bagus empuk kokoh sayang sizenya kalo disandal dilebihi proses pengembaliannya kota jakarta timur selatan depok ya harap sitegudang nya biar cepet exchange,2
Ok..thanks............,5,Positif,okthanks,2
Minta ukuran 39 dikasih ukuran 38,3,Netral,ukuran dikasih ukuran,1
Good seller mantapppp sekali nyaman pas,5,Positif,good seller mantapppp nyaman pas,2
"Produk bagus enak dipakai, ukuran memang harun turun 2 nomor dari ukuran biasa pakai",4,Positif,produk bagus enak dipakai ukuran harun turun nomor ukuran pakai,2
Kok nggak ada merek BATA di barangnya ya,3,Netral,nggak merek bata barangnya ya,1
"pesen warna biru, dikirim warna hitam tanpa diberitahu.. hmm, kurangin 1 bintang ya jadinya.. thx pengiriman cepat.. bahan enak dipakai, pas dengan kaki",4,Positif,pesen warna biru dikirim warna hitam diberitahu hmm kurangin bintang ya thx pengiriman cepat bahan enak dipakai pas kaki,2
"Barang sesuai, ya meskipun slow respon (mungkin sibuk kali ya) tp ttep puas krena barang retur udh sampe. Terimakasih 😊😊😊",5,Positif,barang sesuai ya slow respon sibuk kali ya tp ttep puas krena barang retur udh sampe terimakasih 😊😊😊,2
Awalnya saja yg ragu... Selanjutnya bintang yg berbicara.,5,Positif,yg ragu bintang yg berbicara,2
"Sangat puas belanja di sini! Pelayanan sangat ramah dan memuaskan. Saya lupa menulis size waktu pesan, disusulkan lewat chat dan direspon dengan sangat baik! Highly recommended seller! Thuns up!",5,Positif,puas belanja pelayanan ramah memuaskan lupa menulis size pesan disusulkan chat direspon highly recommended seller thuns up,2
Sesuai dengan gambar dan pesanan wlpn agak lm,5,Positif,sesuai gambar pesanan wlpn lm,2
Sangat puas dan kualitas terbaik,5,Positif,puas kualitas terbaik,2
Barang sudah sampai semoga awet. Terimakasih admin.,5,Positif,barang semoga awet terimakasih admin,2
"Produk sesuai deskripsi, respon penjual cepat",5,Positif,produk sesuai deskripsi respon penjual cepat,2
bagus sekali sepatunya 😍 dari semuanya fast respon kok 👍,5,Positif,bagus sepatunya 😍 fast respon 👍,2
"Mantapppp sangattt OKE, Recomended sangat....",5,Positif,mantapppp sangattt oke recomended,2
"Cepat sampai, nyaman di pakai",5,Positif,cepat nyaman pakai,2
Salah satu Official store yg paling mengecewakan. Saya sudah membayar extra untuk JNE Yes dan diorder 4 hari sebelum liburan tapi saya harus menunggu 11 hari hingga sampai ke tangan saya. Barang yg dikirim pun tidak mulus dan seperti barang reject. Not recommended!,1,Negatif,salah official store yg mengecewakan membayar extra jne yes diorder liburan menunggu tangan barang yg dikirim mulus barang reject not recommended,0
"Sekelas official store begini nih? Demi rating pengiriman? Hahaha mending gausah di proses deh, udah basi banget order kapan dikirim kapan",2,Negatif,sekelas official store nih rating pengiriman hahaha mending gausah proses deh udah basi banget order dikirim,0
Produk okeh ... Tapi size nya nggak standard,4,Positif,produk okeh size nya nggak standard,2
Oke 🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞,5,Positif,oke 🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞🤞,2
"Pas di kaki, dapat diskon, dapat cashback, dapat free ongkir, mantap.....",5,Positif,pas kaki diskon cashback free ongkir mantap,2
"Produk mantap original, seller responsif, packing rapi. Recomended seller👍",5,Positif,produk mantap original seller responsif packing rapi recomended seller👍,2
"Bagus sandalnya, ibu aku suka , terimakasih 😊",5,Positif,bagus sandalnya suka terimakasih 😊,2
Ukuran dan warna sesuai deskripsi.tksh,4,Positif,ukuran warna sesuai deskripsitksh,2
Kualitas oke banget mantap,5,Positif,kualitas oke banget mantap,2
"Terima kasih, paket sudah diterima dengan aman. Produk sesuai deskripsi 👍🏻",5,Positif,terima kasih paket diterima aman produk sesuai deskripsi 👍🏻,2
Size nya tidak sesuai pesanan,3,Netral,size nya sesuai pesanan,1
Bagus lah cuman sayang pengiriman tettunda sama aja pake jne mahal di ongkir pake gosend kalau tertunda sperti ini,3,Netral,bagus cuman sayang pengiriman tettunda aja pake jne mahal ongkir pake gosend tertunda sperti,1
"Mksh, bagus bngt sepatunya. Pas dikaki. Empuk, jd nyaman dipakai....",5,Positif,mksh bagus bngt sepatunya pas dikaki empuk jd nyaman dipakai,2
"recomended official store!! walau sempat tukar size, cs nya dengan senang hati bantu proses nya..thx u Bata!! sukses terus ya!",5,Positif,recomended official store tukar size cs nya senang hati bantu proses nyathx u bata sukses ya,2
"Sepatu nya udh smp, good lah. Moga awet. Pelayanan nya jg ramah disini. Terimakasih.",4,Positif,sepatu nya udh smp good moga awet pelayanan nya jg ramah terimakasih,2
Datangnya malam2..sampai kaget.. hehehehe..,5,Positif,datangnya malamsampai kaget hehehehe,2
Barang sampai dengan selamat dan sesuai pesanan,5,Positif,barang selamat sesuai pesanan,2
"Puas dengan pelayanan, pengiriman cepat",5,Positif,puas pelayanan pengiriman cepat,2
"Respon kakak penjual baik, pengiriman cepat. Packing standar. Produk sesuai deskripsi. Pas lah buat harga segitu. Worthed.",5,Positif,respon kakak penjual pengiriman cepat packing standar produk sesuai deskripsi pas harga segitu worthed,2
Size 45 pas bgt.sesuai pesanan.thx tokopedia free ongkir nya. Thx seller,5,Positif,size pas bgtsesuai pesananthx tokopedia free ongkir nya thx seller,2
"Produk sesuai dengan deskripsi, disarankan ukuran yg diambil diatas 1 nomor.
Sepatunya ringan dan enak dipakai.
Respon seller cepat, terutama di jam kantor. Proses retur karena tukar size/ukuran pun mudah.
Produk dan toko direkomendasikan.",5,Positif,produk sesuai deskripsi disarankan ukuran yg diambil diatas nomor sepatunya ringan enak dipakai respon seller cepat jam kantor proses retur tukar sizeukuran mudah produk toko direkomendasikan,2
"Air drop sudh turun gan, smoga saja awet. 👍",4,Positif,air drop sudh turun gan smoga awet 👍,2
Bagus sepatu nya. Sesuai gambar dan spesifikasi. Harga flash sale murah. Packing rapi. Pengiriman cepat. Thanks Gan.,5,Positif,bagus sepatu nya sesuai gambar spesifikasi harga flash sale murah packing rapi pengiriman cepat thanks gan,2
Sudah diterima paketnya...ya sesuai harga lah...semoga awet,3,Netral,diterima paketnyaya sesuai harga lahsemoga awet,1
"Mantabs gan
Bukan kaleng kaleng",5,Positif,mantabs gan kaleng kaleng,2
Sesuai yg sya inginkan.. mantaaabb...,5,Positif,sesuai yg sya mantaaabb,2
utk tas seharga 299rb..kualitas biasa saja,2,Negatif,utk tas seharga rbkualitas,0
Cepat pengirimannya. Kualitas ok. Sendalnya ringan dipake. Jadi ga sakit,5,Positif,cepat pengirimannya kualitas ok sendalnya ringan dipake ga sakit,2
sudah diterima dengan baik... thanks...,5,Positif,diterima thanks,2
pesen 37 dikirim no 36 tapi tetep cukup...barang bagus bahan ok next order lagi recomend lah belanja di lapak ini sip....,5,Positif,pesen dikirim no tetep cukupbarang bagus bahan ok next order recomend belanja lapak sip,2
Siiiiip lah...👍👍👍👍...sdh ke empat kali sy order barang di sini...semua okey...,5,Positif,siiiiip lah👍👍👍👍sdh kali sy order barang sinisemua okey,2
Kualitas bagus.. Puas dengan produk nya.. Pelayanan yg super cepat.. Tengkyuuu,5,Positif,kualitas bagus puas produk nya pelayanan yg super cepat tengkyuuu,2
Mantaap gan...sesuai gbr...siiiiip,5,Positif,mantaap gansesuai gbrsiiiiip,2
"Produk bagus dan pas sesuai ukuran umum, mudah mudahan awet sampai tahunan..",5,Positif,produk bagus pas sesuai ukuran mudah mudahan awet tahunan,2
"Produk sesuai deskripsi, ukuran pas n nyaman di kaki, thanks seller ....",5,Positif,produk sesuai deskripsi ukuran pas n nyaman kaki thanks seller,2
"Produk Okkk Lahh,Pengiriman Agak Telat",5,Positif,produk okkk lahhpengiriman telat,2
Mantabbbb kualitas terbaik harga termurah...thankssss,5,Positif,mantabbbb kualitas terbaik harga termurahthankssss,2
Bagus semoga awet sendalnya dan belum dipake baru dicoba pas,4,Positif,bagus semoga awet sendalnya dipake dicoba pas,2
"Barangnya Ok, pengiriman sangat cepat sekali,",5,Positif,barangnya ok pengiriman cepat,2
Ketiga kalina beli disini dan tetep puas dg barangna.. makasih.. sukses terus..,5,Positif,ketiga kalina beli tetep puas dg barangna makasih sukses,2
"Deskripsi sesuai,barang mantap.semoga berkah",5,Positif,deskripsi sesuaibarang mantapsemoga berkah,2
Mantap recomended seller pokonyamah sumpah ga bohong,5,Positif,mantap recomended seller pokonyamah sumpah ga bohong,2
Alhamdulillah nyampe... Sesuai dgn deskripsinya ... Maksih sellernya ok bngt,5,Positif,alhamdulillah nyampe sesuai dgn deskripsinya maksih sellernya ok bngt,2
sesuai deskripsi semoga awet suskses trs lapaknya om,5,Positif,sesuai deskripsi semoga awet suskses trs lapaknya om,2
Trimakasih promonya mantap barangnya,5,Positif,trimakasih promonya mantap barangnya,2
Ok mantap diterima terima kasih,5,Positif,ok mantap diterima terima kasih,2
Terimakasih brg y sdh dtg sesuai pesanan bagus warna y,5,Positif,terimakasih brg y sdh dtg sesuai pesanan bagus warna y,2
"Barang bagusssss,trmksh.....",5,Positif,barang bagussssstrmksh,2
"Barang bagus, cepet sampai. Anak juga seneng.",5,Positif,barang bagus cepet anak seneng,2
"Cepet banget padahal minta costum...

Dari dulu sejak jaman Kaskus tetep bagus... Walau Ane minta custom ketebelan ternyata. Kaya pake hak tinggi... 🙈🙈🙈

Setelah chat buat minta dirubah lagi biaya kirim &amp; kirbal Ane tanggung, hasil, proses pengerjaan dan pengiriman cepet ajib lah...

Kaga ada bintang 7 apa yak... 😆😆😆",5,Positif,cepet banget costum jaman kaskus tetep bagus ane custom ketebelan kaya pake hak 🙈🙈🙈 chat dirubah biaya kirim amp kirbal ane tanggung hasil proses pengerjaan pengiriman cepet ajib kaga bintang yak 😆😆😆,2
Mntap mantap mantap mantap,5,Positif,mntap mantap mantap mantap,2
"Produk emang mantap, awet banget, terakhir saya beli 3thn yg lalu,,,",5,Positif,produk emang mantap awet banget beli thn yg,2
Kualitas produk sangat bagus,5,Positif,kualitas produk bagus,2
The besttt recomend pisyaannn,5,Positif,the besttt recomend pisyaannn,2
Semoga cocok dengan langkah ini,5,Positif,semoga cocok langkah,2
Goooooooooooooooooooooooood,5,Positif,goooooooooooooooooooooooood,2
sesuai dengan deskripsi produk  nyaman di pakai dan seller termasuk responsif,5,Positif,sesuai deskripsi produk nyaman pakai seller responsif,2
"Bagus, mutu bagus, nyaman dipakai",5,Positif,bagus mutu bagus nyaman dipakai,2
mantaaaaaaaaaaaaaaaaaaaaaaab,5,Positif,mantaaaaaaaaaaaaaaaaaaaaaaab,2
